date,total_financial_assets
1945-01-01,68936
1946-01-01,67344
1947-01-01,76067.0
1948-01-01,81538.0
1949-01-01,85431.0
1950-01-01,102216.0
1951-01-01,110249.0
1952-01-01,115674.0
1953-01-01,118717.0
1954-01-01,124226.0
1955-01-01,141621.0
1956-01-01,146664.0
1957-01-01,151235.0
1958-01-01,162790.0
1959-01-01,177890.0
1960-01-01,180740.0
1961-01-01,193403.0
1962-01-01,205382.0
1963-01-01,220743.0
1964-01-01,235287.0
1965-01-01,262709.0
1966-01-01,277090.0
1967-01-01,294869.0
1968-01-01,327949.0
1969-01-01,362159.0
1970-01-01,383596.0
1971-01-01,425197.0
1972-01-01,493635.0
1973-01-01,571698.0
1974-01-01,616099.0
1975-01-01,774239.0
1976-01-01,864091.0
1977-01-01,965317.0
1978-01-01,1100180.0
1979-01-01,1279087.0
1980-01-01,1446284.0
1981-01-01,1640039.0
1982-01-01,1750812.0
1983-01-01,1928536.0
1984-01-01,2202785.0
1985-01-01,2473318.0
1986-01-01,2642328.0
1987-01-01,2873195.0
1988-01-01,3252866.0
1989-01-01,3481733.0
1990-01-01,3590541.0
1991-01-01,3717866.0
1992-01-01,3882710.0
1993-01-01,4232832.0
1994-01-01,4504514.0
1995-01-01,4986409.0
1996-01-01,5486342.0
1997-01-01,5836591.0
1998-01-01,6847510.0
1999-01-01,8123163.0
2000-01-01,9799073.0
2001-01-01,9930638.0
2002-01-01,9990035.0
2003-01-01,10171240.0
2004-01-01,10996668.0
2005-01-01,11965043.0
2006-01-01,12728912.0
2007-01-01,13823454.0
2008-01-01,12993147.0
2009-01-01,13389219.0
2010-01-01,14086949.0
2011-01-01,14576297.0
2012-01-01,15153171.0
2013-01-01,16325317.0
2014-01-01,17338911.0
2015-01-01,18822144.0
2016-01-01,20161881.0
2017-01-01,21157616.0
2018-01-01,21309122.0
